time 	 RH 	 LH 
7691	 7691	 7691 
000.093	50.0000	50.0000	
000.122	50.0000	50.0000	
000.200	50.0000	50.0000	
000.250	50.0000	50.0000	
000.329	50.0000	50.0000	
000.375	50.0000	50.0000	
000.440	50.0000	50.0000	
000.502	50.0000	50.0000	
000.567	50.0000	50.0000	
000.630	50.0000	50.0000	
000.700	49.6730	50.3270	
000.752	49.4771	50.5229	
000.820	49.5377	50.4623	
000.881	49.8637	50.1363	
000.938	49.5453	50.4547	
001.001	49.4058	50.5942	
001.068	49.6326	50.3674	
001.132	49.8731	50.1269	
001.190	50.1757	49.8243	
001.253	50.8067	49.1933	
001.317	51.2473	48.7527	
001.370	51.4040	48.5960	
001.440	51.6791	48.3209	
001.504	51.9313	48.0687	
001.570	52.5971	47.4029	
001.632	53.2370	46.7630	
001.688	53.9571	46.0429	
001.746	54.7032	45.2968	
001.816	55.5020	44.4980	
001.877	56.2029	43.7971	
001.936	56.6479	43.3521	
002.007	56.7256	43.2744	
002.062	56.8541	43.1459	
002.132	56.8979	43.1021	
002.182	56.9121	43.0879	
002.252	56.3160	43.6840	
002.307	55.8079	44.1921	
002.368	55.2670	44.7330	
002.440	54.3143	45.6857	
002.509	53.2605	46.7395	
002.560	51.7174	48.2826	
002.634	50.1566	49.8434	
002.688	48.6301	51.3699	
002.744	47.0338	52.9662	
002.815	45.2283	54.7717	
002.880	43.6018	56.3982	
002.935	42.0371	57.9629	
002.999	40.5240	59.4760	
003.056	39.0416	60.9584	
003.133	37.6394	62.3606	
003.189	36.3199	63.6801	
003.252	34.9932	65.0068	
7692	 7692	 7692 
7701	 7701	 7701 
000.046	50.0000	50.0000	
000.104	50.0000	50.0000	
000.168	50.0000	50.0000	
000.231	50.0000	50.0000	
000.297	50.0000	50.0000	
000.357	50.0000	50.0000	
000.417	50.0000	50.0000	
000.479	50.0000	50.0000	
000.545	50.0000	50.0000	
000.605	50.0000	50.0000	
000.664	50.0000	50.0000	
000.731	50.0000	50.0000	
000.798	50.0000	50.0000	
000.859	50.0000	50.0000	
000.907	50.0000	50.0000	
000.981	50.0000	50.0000	
001.045	50.0000	50.0000	
001.105	50.0000	50.0000	
001.169	50.0000	50.0000	
001.233	50.0000	50.0000	
001.291	50.0000	50.0000	
001.358	50.0000	50.0000	
001.410	50.0000	50.0000	
001.481	50.0000	50.0000	
001.545	48.4392	51.5608	
001.595	47.3112	52.6888	
001.659	46.7549	53.2451	
001.723	46.4193	53.5807	
001.787	46.2398	53.7602	
001.847	46.1484	53.8516	
001.907	46.0455	53.9545	
001.971	46.4896	53.5104	
002.035	46.9872	53.0128	
002.095	47.7069	52.2931	
002.159	48.3681	51.6319	
002.223	49.0878	50.9122	
002.287	49.9863	50.0137	
002.347	50.8722	49.1278	
002.407	51.5866	48.4134	
002.471	51.9837	48.0163	
002.535	52.2352	47.7648	
002.595	52.2352	47.7648	
002.659	52.2352	47.7648	
002.723	52.2352	47.7648	
002.787	52.2352	47.7648	
002.847	52.2352	47.7648	
002.907	52.2352	47.7648	
002.971	52.2352	47.7648	
003.035	52.2352	47.7648	
003.095	52.2352	47.7648	
003.159	52.2352	47.7648	
003.223	52.2352	47.7648	
003.287	52.2352	47.7648	
003.347	52.2352	47.7648	
003.407	52.2352	47.7648	
003.471	52.2352	47.7648	
003.535	52.2352	47.7648	
003.605	52.2352	47.7648	
003.671	50.7473	49.2527	
003.736	49.2085	50.7915	
003.801	47.6193	52.3807	
003.861	46.2058	53.7942	
003.920	45.1068	54.8932	
003.985	44.1577	55.8423	
004.049	43.3831	56.6169	
004.110	43.1416	56.8583	
004.167	43.1460	56.8540	
004.230	43.2024	56.7976	
004.299	43.0791	56.9209	
004.360	42.7115	57.2885	
004.420	42.7115	57.2885	
004.481	42.7115	57.2885	
004.546	42.7115	57.2885	
004.605	42.7115	57.2885	
004.670	42.7115	57.2885	
004.734	42.7115	57.2885	
004.790	42.7115	57.2885	
004.857	42.7115	57.2885	
004.919	42.7115	57.2885	
004.976	42.7115	57.2885	
005.044	42.7115	57.2885	
005.104	42.7115	57.2885	
005.167	42.7115	57.2885	
005.232	42.7115	57.2885	
005.296	42.7115	57.2885	
005.356	42.7115	57.2885	
005.416	42.7115	57.2885	
005.482	43.2866	56.7134	
005.550	43.7644	56.2356	
005.608	44.1124	55.8876	
005.664	44.4220	55.5780	
005.738	44.8146	55.1854	
005.801	45.0409	54.9591	
005.861	45.1407	54.8593	
005.908	45.1226	54.8774	
005.985	45.2321	54.7679	
006.049	45.1510	54.8490	
006.103	44.9505	55.0495	
006.171	44.7420	55.2580	
006.235	44.4071	55.5929	
006.299	44.3397	55.6603	
