time 	 RH 	 LH 
7701	 7701	 7701 
000.050	50.0000	50.0000	
000.081	50.0000	50.0000	
000.165	50.0000	50.0000	
000.211	50.0000	50.0000	
000.288	50.0000	50.0000	
000.336	50.0000	50.0000	
000.397	50.0000	50.0000	
000.464	50.0000	50.0000	
000.530	50.0000	50.0000	
000.590	50.0000	50.0000	
000.646	50.0000	50.0000	
000.713	50.0000	50.0000	
000.780	50.0000	50.0000	
000.835	50.0000	50.0000	
000.891	50.0000	50.0000	
000.965	50.0000	50.0000	
001.029	50.0000	50.0000	
001.090	50.0000	50.0000	
001.145	50.0000	50.0000	
001.210	50.0000	50.0000	
001.275	50.0000	50.0000	
001.334	50.0000	50.0000	
001.403	50.0000	50.0000	
001.468	50.0000	50.0000	
001.523	50.0000	50.0000	
001.587	50.0000	50.0000	
001.651	50.0000	50.0000	
001.712	50.0000	50.0000	
001.775	50.0000	50.0000	
001.852	49.2900	50.7100	
001.897	48.4746	51.5254	
001.971	47.6202	52.3798	
002.034	46.6825	53.3175	
002.101	45.8223	54.1777	
002.147	44.1702	55.8298	
002.217	43.7215	56.2785	
002.281	43.8785	56.1215	
002.345	44.2209	55.7791	
002.398	44.9980	55.0020	
002.461	44.9980	55.0020	
002.525	44.9980	55.0020	
002.585	44.9980	55.0020	
002.654	44.9980	55.0020	
002.715	44.9980	55.0020	
002.774	44.9980	55.0020	
002.837	44.9980	55.0020	
002.897	44.9980	55.0020	
002.961	44.9980	55.0020	
003.025	44.9980	55.0020	
003.085	44.9980	55.0020	
003.155	44.9980	55.0020	
003.214	44.9980	55.0020	
003.270	44.9980	55.0020	
003.343	44.9980	55.0020	
003.401	44.9980	55.0020	
003.461	44.9980	55.0020	
003.526	47.1115	52.8885	
003.593	48.9531	51.0469	
003.647	50.9649	49.0351	
003.716	53.0826	46.9174	
003.781	55.2101	44.7899	
003.839	57.2413	42.7587	
003.898	59.0234	40.9766	
003.956	60.6965	39.3035	
7702	 7702	 7702 
7701	 7701	 7701 
000.017	50.0000	50.0000	
000.085	50.0000	50.0000	
000.140	50.0000	50.0000	
000.205	50.0000	50.0000	
000.265	50.0000	50.0000	
000.328	50.0000	50.0000	
000.386	50.0000	50.0000	
000.453	50.0000	50.0000	
000.517	50.0000	50.0000	
000.580	50.0000	50.0000	
000.642	50.0000	50.0000	
000.703	50.0000	50.0000	
000.764	50.0000	50.0000	
000.829	50.0000	50.0000	
000.886	50.0000	50.0000	
000.950	50.0000	50.0000	
001.014	50.0000	50.0000	
001.078	50.0000	50.0000	
001.138	50.0000	50.0000	
001.202	50.0000	50.0000	
001.262	50.0000	50.0000	
001.326	50.0000	50.0000	
001.389	50.0000	50.0000	
001.450	50.0000	50.0000	
001.515	50.0000	50.0000	
001.578	50.0000	50.0000	
001.639	50.0000	50.0000	
001.702	50.0000	50.0000	
001.762	50.0000	50.0000	
001.827	50.0000	50.0000	
001.890	50.0000	50.0000	
001.951	50.0000	50.0000	
002.009	50.0000	50.0000	
002.083	50.0000	50.0000	
002.142	50.0000	50.0000	
002.200	50.0000	50.0000	
002.261	50.0000	50.0000	
002.327	50.0000	50.0000	
002.394	50.1015	49.8985	
002.454	50.3813	49.6187	
002.517	50.6580	49.3420	
002.581	50.8727	49.1273	
002.636	50.9326	49.0674	
002.705	50.7748	49.2252	
002.763	50.4875	49.5125	
002.827	50.1583	49.8417	
002.891	49.5583	50.4417	
002.951	48.4686	51.5314	
003.016	47.3873	52.6127	
003.079	46.3737	53.6263	
003.140	44.9416	55.0584	
003.203	43.5733	56.4267	
003.263	42.6854	57.3146	
003.328	41.4488	58.5512	
003.392	40.3016	59.6984	
003.451	39.0116	60.9884	
003.516	37.8511	62.1489	
003.576	36.7412	63.2587	
003.636	35.5371	64.4629	
003.701	35.5371	64.4629	
003.761	35.5371	64.4629	
003.824	35.5371	64.4629	
003.893	35.5371	64.4629	
003.957	35.5371	64.4629	
004.012	35.5371	64.4629	
004.070	35.5371	64.4629	
004.140	35.5371	64.4629	
004.204	35.5371	64.4629	
004.259	35.5371	64.4629	
004.330	35.5371	64.4629	
004.393	35.5371	64.4629	
004.454	35.5371	64.4629	
004.517	35.5371	64.4629	
004.580	35.5371	64.4629	
004.636	35.5371	64.4629	
004.708	35.1494	64.8506	
004.766	34.8944	65.1056	
7703	 7703	 7703 
004.822	35.2368	64.7632	
004.886	35.2368	64.7632	
004.946	35.2368	64.7632	
005.011	35.2368	64.7632	
005.075	35.2368	64.7632	
005.135	35.2368	64.7632	
005.198	35.2368	64.7632	
005.258	35.2368	64.7632	
005.322	35.2368	64.7632	
005.386	35.2368	64.7632	
005.446	35.2368	64.7632	
005.511	35.2368	64.7632	
005.575	35.2368	64.7632	
005.634	35.2368	64.7632	
005.698	35.2368	64.7632	
005.759	35.2368	64.7632	
005.820	35.2368	64.7632	
005.886	35.2368	64.7632	
005.947	35.2368	64.7632	
006.010	35.2368	64.7632	
006.075	35.2368	64.7632	
006.135	35.2368	64.7632	
006.199	35.2368	64.7632	
006.259	35.2368	64.7632	
006.324	35.2368	64.7632	
006.387	35.2368	64.7632	
006.447	35.2368	64.7632	
006.511	35.2368	64.7632	
006.575	35.2368	64.7632	
006.636	35.2368	64.7632	
006.698	35.2368	64.7632	
006.761	35.2368	64.7632	
006.831	35.2368	64.7632	
006.894	35.2368	64.7632	
006.954	35.2368	64.7632	
007.007	35.2368	64.7632	
007.075	35.2368	64.7632	
007.143	35.2368	64.7632	
007.206	35.2368	64.7632	
007.260	35.2368	64.7632	
007.329	35.2368	64.7632	
007.393	35.2368	64.7632	
007.455	35.2368	64.7632	
007.519	35.2368	64.7632	
007.580	35.2368	64.7632	
007.643	35.2368	64.7632	
007.695	35.2368	64.7632	
007.754	35.2368	64.7632	
007.826	35.2368	64.7632	
007.893	35.2368	64.7632	
007.953	35.2368	64.7632	
008.009	35.2368	64.7632	
008.079	35.2368	64.7632	
008.138	35.2368	64.7632	
008.202	35.2368	64.7632	
008.264	35.2368	64.7632	
008.332	35.2368	64.7632	
008.394	35.2368	64.7632	
008.447	35.2368	64.7632	
008.516	35.2368	64.7632	
008.579	35.2368	64.7632	
008.639	35.2368	64.7632	
008.704	35.2368	64.7632	
008.765	35.2368	64.7632	
008.829	35.2368	64.7632	
008.892	35.2368	64.7632	
008.953	35.2368	64.7632	
009.017	35.2368	64.7632	
009.075	35.2368	64.7632	
009.140	35.2368	64.7632	
009.204	35.2368	64.7632	
009.264	35.2368	64.7632	
009.330	36.3230	63.6770	
009.395	37.5497	62.4503	
009.455	38.5377	61.4623	
009.520	39.3681	60.6319	
009.583	40.2353	59.7647	
009.644	40.9814	59.0186	
009.707	41.7259	58.2741	
009.766	42.3614	57.6386	
009.831	43.3029	56.6971	
009.896	44.3622	55.6378	
102	 102	 102 
7701	 7701	 7701 
000.015	50.0000	50.0000	
000.078	50.0000	50.0000	
000.143	50.0000	50.0000	
000.206	50.0000	50.0000	
000.270	50.0000	50.0000	
000.328	50.0000	50.0000	
000.390	50.0000	50.0000	
000.453	50.0000	50.0000	
000.517	50.0000	50.0000	
000.576	50.0000	50.0000	
000.647	50.3266	49.6734	
000.710	51.1527	48.8473	
000.774	51.8449	48.1551	
000.834	52.4080	47.5920	
000.894	52.8618	47.1382	
000.951	53.3882	46.6118	
001.023	53.8367	46.1633	
001.085	54.5466	45.4534	
001.147	55.4208	44.5792	
001.211	56.3837	43.6163	
001.275	57.3034	42.6966	
001.335	57.9859	42.0141	
001.395	58.3517	41.6483	
001.450	58.3517	41.6483	
001.523	58.3517	41.6483	
001.573	58.3517	41.6483	
001.637	58.3517	41.6483	
001.711	58.3517	41.6483	
001.774	58.3517	41.6483	
001.826	58.3517	41.6483	
001.891	58.3517	41.6483	
001.955	58.3517	41.6483	
002.020	58.3517	41.6483	
002.081	58.3517	41.6483	
002.145	58.3517	41.6483	
002.208	58.3517	41.6483	
002.266	58.3517	41.6483	
002.323	58.3517	41.6483	
002.384	58.3517	41.6483	
002.461	59.7565	40.2435	
002.524	61.1609	38.8391	
7702	 7702	 7702 
7701	 7701	 7701 
