time 	 RH 	 LH 
7701	 7701	 7701 
000.099	50.0000	50.0000	
000.125	50.0000	50.0000	
000.210	50.0000	50.0000	
000.256	50.0324	49.9676	
000.338	49.9975	50.0025	
000.378	50.1641	49.8359	
000.447	50.6121	49.3879	
000.510	51.0664	48.9336	
000.577	51.6684	48.3316	
000.624	52.4157	47.5843	
000.698	53.0842	46.9158	
000.765	53.9299	46.0701	
000.816	54.7147	45.2853	
000.874	55.2577	44.7423	
000.950	55.7619	44.2381	
001.015	56.3426	43.6574	
001.078	56.9182	43.0818	
001.137	57.3845	42.6155	
001.193	57.6942	42.3058	
001.261	57.9717	42.0283	
001.322	58.8672	41.1328	
001.385	59.8218	40.1782	
001.449	60.5216	39.4784	
001.514	60.9473	39.0527	
001.574	61.1031	38.8969	
001.633	61.1014	38.8986	
001.697	61.0290	38.9710	
001.760	60.5534	39.4466	
001.821	60.0799	39.9201	
001.885	59.8054	40.1946	
001.949	59.7064	40.2936	
002.012	59.6906	40.3094	
002.073	59.8243	40.1757	
002.135	59.9382	40.0618	
002.197	59.8895	40.1105	
002.262	60.1066	39.8934	
002.321	59.7625	40.2375	
002.376	59.2153	40.7847	
002.452	58.4962	41.5038	
002.504	58.1625	41.8375	
002.575	57.8849	42.1151	
002.627	57.8413	42.1587	
002.698	57.6146	42.3854	
002.760	57.4724	42.5276	
002.821	57.3326	42.6674	
002.884	57.2059	42.7941	
002.948	56.6332	43.3668	
003.013	55.8711	44.1289	
003.073	54.7098	45.2902	
003.133	53.3542	46.6458	
003.197	52.1033	47.8967	
003.261	50.8504	49.1496	
003.320	49.7716	50.2284	
003.386	48.6120	51.3880	
003.450	47.3282	52.6718	
003.506	46.2091	53.7909	
003.567	45.1788	54.8212	
003.628	45.1788	54.8212	
003.692	45.1788	54.8212	
003.761	45.1788	54.8212	
003.820	45.1788	54.8212	
003.885	45.1788	54.8212	
003.949	45.1788	54.8212	
004.013	45.1788	54.8212	
004.066	45.1788	54.8212	
004.132	45.1788	54.8212	
004.191	45.1788	54.8212	
004.250	45.1788	54.8212	
004.310	45.1788	54.8212	
004.374	45.1788	54.8212	
004.438	45.1788	54.8212	
004.502	45.1788	54.8212	
004.562	45.1788	54.8212	
004.622	44.7711	55.2288	
004.686	44.2933	55.7067	
004.750	43.8718	56.1282	
004.810	43.5340	56.4660	
004.874	42.9829	57.0171	
004.938	42.7734	57.2266	
005.002	42.1002	57.8998	
005.062	41.4536	58.5464	
005.122	40.5120	59.4880	
005.186	39.5238	60.4762	
005.251	38.6350	61.3650	
005.310	38.6350	61.3650	
005.374	38.6350	61.3650	
005.438	38.6350	61.3650	
005.502	38.6350	61.3650	
005.562	38.6350	61.3650	
005.622	38.6350	61.3650	
005.686	38.6350	61.3650	
005.750	38.6350	61.3650	
005.810	38.6350	61.3650	
005.874	38.6350	61.3650	
005.938	38.6350	61.3650	
006.002	38.6350	61.3650	
006.062	38.6350	61.3650	
006.122	38.6350	61.3650	
006.186	38.6350	61.3650	
006.250	38.6350	61.3650	
006.310	38.6350	61.3650	
006.374	38.6350	61.3650	
006.438	38.6350	61.3650	
006.502	38.6350	61.3650	
006.562	38.6350	61.3650	
006.622	38.6350	61.3650	
006.688	38.6350	61.3650	
006.761	38.6350	61.3650	
006.821	38.6350	61.3650	
006.885	38.6350	61.3650	
006.949	38.6350	61.3650	
007.013	38.6350	61.3650	
7702	 7702	 7702 
7691	 7691	 7691 
000.070	50.0000	50.0000	
000.121	50.0000	50.0000	
000.178	50.0000	50.0000	
000.250	50.0000	50.0000	
000.313	50.0000	50.0000	
000.363	50.0000	50.0000	
000.431	50.0000	50.0000	
000.497	50.0000	50.0000	
000.564	50.0000	50.0000	
000.621	50.0000	50.0000	
000.683	50.0000	50.0000	
000.746	50.0000	50.0000	
000.804	50.0000	50.0000	
000.873	50.0000	50.0000	
000.933	50.0000	50.0000	
000.999	50.0000	50.0000	
001.066	50.0000	50.0000	
001.121	50.0000	50.0000	
001.185	50.0000	50.0000	
001.250	50.0000	50.0000	
001.313	50.0000	50.0000	
001.374	50.0000	50.0000	
001.436	50.4481	49.5519	
001.494	51.0853	48.9147	
001.567	51.6971	48.3029	
001.623	52.0103	47.9897	
001.682	52.3851	47.6149	
001.747	52.9399	47.0601	
001.811	53.6042	46.3958	
001.870	54.5680	45.4320	
001.930	55.2711	44.7289	
001.998	55.9295	44.0705	
002.067	56.3158	43.6842	
002.118	56.9552	43.0448	
002.182	57.6536	42.3464	
002.246	58.5804	41.4196	
002.315	59.1934	40.8066	
002.367	59.4773	40.5227	
002.423	59.5582	40.4418	
002.499	59.3121	40.6879	
002.568	59.3995	40.6005	
002.624	59.6709	40.3291	
002.682	59.9874	40.0126	
002.745	60.2570	39.7430	
002.803	60.3360	39.6640	
002.863	59.7760	40.2240	
002.923	59.1106	40.8894	
002.987	58.3314	41.6686	
003.055	57.5225	42.4775	
