time 	 RH 	 LH 
7701	 7701	 7701 
000.095	51.2379	48.7621	
000.116	52.6799	47.3201	
000.206	53.9059	46.0941	
000.241	55.0679	44.9321	
000.323	55.8259	44.1741	
000.369	56.5589	43.4411	
000.442	57.1816	42.8184	
000.500	57.8234	42.1766	
000.565	58.5383	41.4617	
000.622	59.2238	40.7762	
000.679	59.7599	40.2401	
000.738	59.9034	40.0966	
000.810	59.8160	40.1840	
000.876	59.1241	40.8759	
000.939	57.9791	42.0209	
001.001	56.7578	43.2422	
001.064	55.0881	44.9119	
001.123	53.4084	46.5916	
001.179	52.4214	47.5786	
001.245	52.1760	47.8240	
001.312	52.7532	47.2468	
001.370	53.6154	46.3846	
001.433	54.7287	45.2713	
001.498	55.8280	44.1720	
001.565	57.3260	42.6740	
001.623	58.9957	41.0043	
001.691	60.7480	39.2520	
001.751	62.4911	37.5089	
001.805	64.1671	35.8329	
001.878	65.7557	34.2443	
7702	 7702	 7702 
7701	 7701	 7701 
000.030	50.0000	50.0000	
000.094	50.0000	50.0000	
000.166	50.0000	50.0000	
000.215	50.0000	50.0000	
000.277	49.5682	50.4318	
000.349	48.8489	51.1511	
000.409	48.2308	51.7692	
000.461	47.5911	52.4089	
000.525	47.2401	52.7599	
000.589	47.0441	52.9559	
000.665	46.9964	53.0036	
000.720	46.7233	53.2767	
000.784	46.2165	53.7835	
000.844	45.7165	54.2835	
000.914	45.0620	54.9380	
000.973	44.3327	55.6673	
001.037	43.0869	56.9131	
001.095	42.0341	57.9659	
001.164	41.0092	58.9908	
001.225	39.8728	60.1272	
001.289	38.7908	61.2092	
001.349	37.9077	62.0923	
001.419	37.0891	62.9108	
001.476	36.5484	63.4516	
001.530	35.7575	64.2425	
001.602	35.0522	64.9478	
001.666	34.2711	65.7289	
7703	 7703	 7703 
001.719	33.5177	66.4823	
001.783	33.5177	66.4823	
001.842	33.5177	66.4823	
001.910	33.5177	66.4823	
001.965	33.5177	66.4823	
002.029	33.5177	66.4823	
002.094	33.5177	66.4823	
002.157	33.5177	66.4823	
002.217	33.5177	66.4823	
002.282	33.5177	66.4823	
002.340	33.5177	66.4823	
002.408	33.5177	66.4823	
002.465	33.5177	66.4823	
002.529	33.5177	66.4823	
002.593	33.5177	66.4823	
002.657	33.5177	66.4823	
002.717	33.5177	66.4823	
002.781	33.5177	66.4823	
002.840	33.5177	66.4823	
002.903	33.5177	66.4823	
002.959	33.5177	66.4823	
003.023	33.5177	66.4823	
003.087	33.5177	66.4823	
003.151	33.5177	66.4823	
003.211	33.5177	66.4823	
003.275	33.5177	66.4823	
003.335	33.5177	66.4823	
003.403	33.5177	66.4823	
003.459	33.5177	66.4823	
003.523	33.5177	66.4823	
003.587	33.5177	66.4823	
003.651	33.5177	66.4823	
003.713	33.5177	66.4823	
003.777	33.5177	66.4823	
003.837	33.5177	66.4823	
003.905	33.5177	66.4823	
003.961	33.5177	66.4823	
004.025	33.5177	66.4823	
004.089	33.5177	66.4823	
004.153	33.5177	66.4823	
004.213	33.5177	66.4823	
004.277	33.5177	66.4823	
004.337	33.5177	66.4823	
004.405	33.5177	66.4823	
004.470	33.5177	66.4823	
004.535	33.5177	66.4823	
004.600	33.5177	66.4823	
004.664	33.5177	66.4823	
004.723	33.5177	66.4823	
004.787	33.5177	66.4823	
004.847	33.5177	66.4823	
004.917	33.5177	66.4823	
004.961	33.5177	66.4823	
005.025	33.5177	66.4823	
005.099	33.5177	66.4823	
005.163	33.5177	66.4823	
005.223	33.5177	66.4823	
005.287	33.5177	66.4823	
005.347	33.5177	66.4823	
005.415	33.5177	66.4823	
005.472	33.5177	66.4823	
005.536	33.5177	66.4823	
005.600	33.5177	66.4823	
005.665	33.5177	66.4823	
005.724	33.5177	66.4823	
005.788	33.5177	66.4823	
005.846	33.5177	66.4823	
005.916	33.5177	66.4823	
005.971	33.5177	66.4823	
006.037	33.5177	66.4823	
006.100	33.5177	66.4823	
006.154	33.5177	66.4823	
006.223	33.5177	66.4823	
006.287	33.5177	66.4823	
006.347	33.5177	66.4823	
006.416	33.5177	66.4823	
006.472	33.5177	66.4823	
006.536	33.5177	66.4823	
006.599	33.5177	66.4823	
006.664	33.5177	66.4823	
006.726	35.0001	64.9999	
006.792	36.0007	63.9993	
006.849	37.1073	62.8927	
006.917	38.2769	61.7231	
006.974	39.1787	60.8213	
007.039	39.6798	60.3202	
007.103	40.1312	59.8688	
007.167	40.4629	59.5371	
007.223	40.4629	59.5371	
007.287	40.4629	59.5371	
007.347	40.4629	59.5371	
007.415	40.4629	59.5371	
007.471	40.4629	59.5371	
007.536	40.4629	59.5371	
007.599	40.4629	59.5371	
007.663	40.4629	59.5371	
007.724	40.4629	59.5371	
103	 103	 103 
7691	 7691	 7691 
000.044	50.0000	50.0000	
000.102	50.0000	50.0000	
000.169	50.0000	50.0000	
000.227	50.0000	50.0000	
000.290	50.0000	50.0000	
000.354	50.0000	50.0000	
000.418	50.0000	50.0000	
000.479	50.0000	50.0000	
000.544	50.0000	50.0000	
000.602	50.0000	50.0000	
000.670	50.0000	50.0000	
000.725	50.0000	50.0000	
000.789	50.0000	50.0000	
000.855	50.0000	50.0000	
000.918	50.0000	50.0000	
000.978	50.0000	50.0000	
001.042	50.0000	50.0000	
001.102	50.0000	50.0000	
001.170	50.0000	50.0000	
001.226	50.0000	50.0000	
001.290	50.0000	50.0000	
001.357	49.7621	50.2379	
001.422	49.9607	50.0393	
001.475	50.3382	49.6618	
001.546	50.6521	49.3479	
001.606	50.8070	49.1930	
001.673	50.6358	49.3642	
001.729	50.4509	49.5491	
001.781	49.7819	50.2181	
001.845	48.9316	51.0684	
001.909	47.6871	52.3129	
001.970	46.4882	53.5118	
002.038	45.4063	54.5937	
002.105	44.7101	55.2899	
002.174	44.1775	55.8225	
002.230	43.7036	56.2964	
002.294	43.5035	56.4965	
002.357	43.2278	56.7721	
002.421	42.7546	57.2454	
002.480	42.4153	57.5847	
002.547	43.1692	56.8308	
002.606	44.5108	55.4892	
002.673	46.0974	53.9025	
002.731	48.0528	51.9472	
002.793	50.0910	49.9090	
002.858	52.0629	47.9371	
002.920	53.9994	46.0006	
002.979	55.7409	44.2591	
003.042	57.4265	42.5735	
003.102	59.1476	40.8524	
003.169	60.8887	39.1113	
003.230	62.5909	37.4091	
003.294	64.2380	35.7620	
003.357	65.8350	34.1650	
7693	 7693	 7693 
003.412	67.3473	32.6527	
003.473	67.3473	32.6527	
003.532	67.3473	32.6527	
003.596	67.3473	32.6527	
003.664	67.3473	32.6527	
003.721	67.3473	32.6527	
003.785	67.3473	32.6527	
003.843	67.3473	32.6527	
003.907	67.3473	32.6527	
003.967	67.3473	32.6527	
004.031	67.3473	32.6527	
004.091	67.3473	32.6527	
004.159	67.3473	32.6527	
004.215	67.3473	32.6527	
004.279	67.3473	32.6527	
004.343	67.3473	32.6527	
004.407	67.3473	32.6527	
004.467	67.3473	32.6527	
004.531	67.3473	32.6527	
004.591	67.3473	32.6527	
004.659	67.3473	32.6527	
004.715	67.3473	32.6527	
004.779	67.3473	32.6527	
004.843	67.3473	32.6527	
004.907	67.3473	32.6527	
004.967	67.3473	32.6527	
005.031	67.3473	32.6527	
005.091	67.3473	32.6527	
005.159	67.3473	32.6527	
005.215	67.3473	32.6527	
005.279	67.3473	32.6527	
005.343	67.3473	32.6527	
005.409	66.4411	33.5589	
005.469	66.2139	33.7861	
005.533	66.1476	33.8524	
