time 	 RH 	 LH 
7701	 7701	 7701 
000.065	50.0000	50.0000	
000.105	50.0000	50.0000	
000.167	50.0000	50.0000	
000.231	50.0000	50.0000	
000.305	50.0000	50.0000	
000.357	50.0000	50.0000	
000.439	49.8357	50.1643	
000.483	49.2718	50.7282	
000.537	48.6606	51.3394	
000.601	48.0110	51.9890	
000.694	47.4825	52.5175	
000.726	47.3082	52.6918	
000.794	46.7404	53.2597	
000.858	45.7653	54.2347	
000.919	44.4073	55.5927	
000.978	42.8191	57.1809	
001.047	41.0869	58.9131	
001.110	39.4315	60.5685	
001.174	37.8203	62.1797	
001.234	36.3138	63.6862	
001.299	34.7945	65.2055	
7703	 7703	 7703 
001.368	33.3210	66.6790	
001.414	33.3210	66.6790	
001.476	33.3210	66.6790	
001.540	33.3210	66.6790	
001.604	33.3210	66.6790	
001.669	33.3210	66.6790	
001.728	33.3210	66.6790	
001.792	33.3210	66.6790	
001.856	33.3210	66.6790	
001.916	33.3210	66.6790	
001.975	33.3210	66.6790	
002.040	33.3210	66.6790	
002.104	33.3210	66.6790	
002.168	33.3210	66.6790	
002.225	33.3210	66.6790	
002.291	33.3210	66.6790	
002.358	33.3210	66.6790	
002.415	33.3210	66.6790	
002.475	33.3210	66.6790	
002.535	33.3210	66.6790	
002.600	33.3210	66.6790	
002.664	33.3210	66.6790	
002.724	33.3210	66.6790	
002.790	33.3210	66.6790	
002.856	33.3210	66.6790	
002.915	33.3210	66.6790	
002.977	33.3210	66.6790	
003.040	33.3210	66.6790	
003.104	33.3210	66.6790	
003.168	33.3210	66.6790	
003.228	33.3210	66.6790	
003.293	33.3210	66.6790	
003.364	33.3210	66.6790	
003.423	33.3210	66.6790	
003.484	33.3210	66.6790	
003.546	33.3210	66.6790	
003.611	33.3210	66.6790	
003.674	33.3210	66.6790	
003.736	33.3210	66.6790	
003.798	33.3210	66.6790	
003.862	33.3210	66.6790	
003.922	33.3210	66.6790	
003.984	33.3210	66.6790	
004.036	33.3210	66.6790	
004.101	33.6437	66.3562	
004.176	33.7033	66.2967	
004.237	33.9341	66.0659	
004.301	34.5021	65.4979	
004.359	34.7875	65.2125	
004.419	35.4710	64.5290	
004.479	35.9787	64.0213	
004.547	36.7192	63.2808	
004.611	37.5118	62.4882	
004.677	38.4221	61.5779	
004.737	38.9751	61.0249	
004.800	39.3804	60.6196	
004.864	40.1038	59.8962	
004.919	41.0340	58.9660	
004.986	42.0796	57.9204	
005.050	43.1738	56.8262	
005.113	44.0878	55.9122	
005.175	45.0513	54.9487	
005.235	45.8557	54.1443	
102	 102	 102 
7701	 7701	 7701 
000.027	50.0000	50.0000	
000.091	50.0000	50.0000	
000.154	50.0000	50.0000	
000.215	50.0000	50.0000	
000.280	50.0000	50.0000	
000.343	50.0000	50.0000	
000.402	50.0000	50.0000	
000.456	50.0000	50.0000	
000.519	50.0000	50.0000	
000.585	50.0386	49.9614	
000.661	49.9416	50.0584	
000.719	49.7715	50.2285	
000.776	49.5406	50.4595	
000.849	49.4839	50.5161	
000.907	49.2042	50.7958	
000.967	49.1004	50.8996	
001.026	49.1848	50.8152	
001.096	49.2020	50.7980	
001.159	49.0059	50.9941	
001.211	49.0083	50.9917	
001.284	49.2589	50.7411	
001.340	49.4797	50.5203	
001.408	49.7134	50.2866	
001.460	49.8044	50.1956	
001.529	49.8498	50.1502	
001.593	49.9677	50.0323	
001.658	50.4488	49.5512	
001.712	51.2472	48.7528	
001.780	51.7621	48.2379	
001.847	51.8638	48.1362	
001.907	51.8617	48.1383	
001.963	51.7112	48.2888	
002.026	52.1250	47.8750	
002.091	52.6136	47.3864	
002.154	53.2578	46.7422	
002.214	53.6805	46.3195	
002.272	54.0241	45.9759	
002.335	54.8523	45.1477	
002.395	55.6857	44.3143	
002.456	56.5912	43.4088	
002.520	57.6635	42.3365	
002.583	58.6923	41.3077	
002.647	59.9119	40.0881	
002.708	60.9568	39.0432	
7702	 7702	 7702 
7691	 7691	 7691 
000.049	50.0000	50.0000	
000.108	50.0000	50.0000	
000.172	50.0000	50.0000	
000.249	50.0000	50.0000	
000.298	50.0000	50.0000	
000.363	50.0000	50.0000	
000.427	50.0000	50.0000	
000.492	50.0000	50.0000	
000.557	50.0000	50.0000	
000.611	50.0000	50.0000	
000.684	50.0000	50.0000	
000.739	50.0000	50.0000	
000.809	50.0000	50.0000	
000.859	50.0000	50.0000	
000.933	50.0000	50.0000	
000.995	50.0000	50.0000	
001.050	50.0000	50.0000	
001.119	49.5308	50.4692	
001.186	49.0989	50.9011	
001.240	48.4548	51.5452	
001.309	47.7733	52.2267	
001.370	46.3979	53.6021	
001.424	44.9955	55.0045	
001.484	43.6223	56.3777	
001.550	42.0468	57.9532	
001.621	40.5883	59.4117	
001.673	39.3494	60.6506	
001.737	38.3458	61.6542	
001.808	37.5149	62.4851	
001.867	36.8381	63.1619	
001.924	36.7122	63.2878	
001.999	36.8823	63.1177	
002.053	37.4792	62.5208	
002.120	38.0787	61.9213	
002.177	38.7240	61.2760	
002.249	39.8098	60.1902	
002.301	40.6384	59.3616	
002.371	41.4589	58.5411	
002.425	42.6078	57.3922	
002.498	44.0954	55.9046	
002.552	45.8688	54.1312	
002.620	47.6435	52.3565	
002.673	49.2231	50.7769	
002.736	50.4554	49.5446	
002.796	52.0134	47.9866	
002.856	53.5882	46.4118	
002.920	55.2248	44.7751	
002.985	56.8657	43.1343	
003.048	58.3310	41.6690	
003.108	59.8794	40.1206	
003.173	61.4091	38.5909	
7693	 7693	 7693 
003.251	62.8550	37.1450	
003.300	62.8550	37.1450	
003.362	62.8550	37.1450	
003.424	62.8550	37.1450	
003.490	62.8550	37.1450	
003.553	62.8550	37.1450	
003.613	62.8550	37.1450	
003.678	62.8550	37.1450	
003.740	62.8550	37.1450	
003.799	62.8550	37.1450	
003.862	62.8550	37.1450	
003.924	62.8550	37.1450	
003.988	62.8550	37.1450	
004.052	62.8550	37.1450	
