time 	 RH 	 LH 
7701	 7701	 7701 
000.077	50.0000	50.0000	
000.108	50.0000	50.0000	
000.193	50.0000	50.0000	
000.237	50.0000	50.0000	
000.320	50.0000	50.0000	
000.361	50.0000	50.0000	
000.434	50.0000	50.0000	
000.487	50.0000	50.0000	
000.554	50.0000	50.0000	
000.618	50.0000	50.0000	
000.681	50.0000	50.0000	
000.740	50.0000	50.0000	
000.796	50.0000	50.0000	
000.867	50.0000	50.0000	
000.921	50.0000	50.0000	
000.977	50.0000	50.0000	
001.041	50.0000	50.0000	
001.116	50.0000	50.0000	
001.181	50.0000	50.0000	
001.238	49.4838	50.5162	
001.316	49.0486	50.9514	
001.363	48.5014	51.4986	
001.439	48.1241	51.8758	
001.493	47.7594	52.2406	
001.543	47.4122	52.5878	
001.606	47.1882	52.8118	
001.678	46.6371	53.3629	
001.741	46.0773	53.9227	
001.806	45.4114	54.5886	
001.869	44.9004	55.0996	
001.922	44.4975	55.5025	
001.978	43.9164	56.0836	
002.041	43.5430	56.4570	
002.105	43.0483	56.9517	
002.169	43.3934	56.6066	
002.230	43.5841	56.4159	
002.305	43.9043	56.0957	
002.358	44.3709	55.6291	
002.435	45.1653	54.8347	
002.493	45.8577	54.1423	
002.555	46.5184	53.4816	
002.610	47.0840	52.9160	
002.682	47.6231	52.3769	
002.742	48.0665	51.9335	
002.805	48.8814	51.1186	
002.863	49.6369	50.3631	
002.934	50.2724	49.7276	
002.989	51.0122	48.9878	
003.054	51.7611	48.2389	
003.108	52.4872	47.5128	
003.183	53.0757	46.9243	
003.243	53.8069	46.1931	
003.301	54.1548	45.8452	
003.365	54.4288	45.5712	
003.428	54.0288	45.9712	
003.490	53.6105	46.3895	
003.554	53.2480	46.7521	
003.611	53.0029	46.9971	
003.682	53.1901	46.8099	
003.743	53.5376	46.4624	
003.801	53.9496	46.0504	
003.865	54.5386	45.4614	
003.929	54.7720	45.2280	
003.985	54.9924	45.0076	
004.052	55.0182	44.9819	
004.106	55.1857	44.8143	
004.171	55.3255	44.6745	
004.244	55.0881	44.9119	
004.308	54.8216	45.1784	
004.365	54.4611	45.5389	
004.432	54.1873	45.8127	
004.488	53.9568	46.0432	
004.554	53.3621	46.6379	
004.616	52.6131	47.3869	
004.678	51.8107	48.1893	
004.739	50.9746	49.0254	
004.805	50.0998	49.9002	
004.858	49.2012	50.7988	
004.924	48.2007	51.7993	
004.987	47.1510	52.8490	
005.051	46.0197	53.9803	
005.110	45.3274	54.6726	
005.182	45.0684	54.9316	
005.242	45.1137	54.8863	
005.306	45.3200	54.6800	
005.365	45.7361	54.2639	
005.429	45.8759	54.1241	
005.489	45.7613	54.2387	
005.549	45.7821	54.2179	
005.617	45.7677	54.2323	
005.676	45.8537	54.1463	
005.740	46.3247	53.6753	
005.803	46.9455	53.0545	
005.859	47.6774	52.3226	
005.922	48.6965	51.3035	
005.981	49.7411	50.2589	
006.042	50.7232	49.2768	
006.119	51.4517	48.5483	
006.182	51.8838	48.1162	
006.243	52.2348	47.7652	
006.306	52.3609	47.6391	
006.364	52.1279	47.8721	
006.429	52.0000	48.0000	
006.492	52.0242	47.9758	
006.552	52.0382	47.9618	
006.611	51.9186	48.0814	
006.682	51.7448	48.2552	
006.742	51.6471	48.3529	
006.800	51.9587	48.0413	
006.864	51.8154	48.1846	
006.932	51.3617	48.6383	
006.992	50.4573	49.5427	
7702	 7702	 7702 
7691	 7691	 7691 
000.008	50.0000	50.0000	
000.082	50.0000	50.0000	
000.143	50.0000	50.0000	
000.205	50.0000	50.0000	
000.270	50.0000	50.0000	
000.328	50.0000	50.0000	
000.393	50.0000	50.0000	
000.453	50.0000	50.0000	
000.519	50.0000	50.0000	
000.575	50.0000	50.0000	
000.643	50.0000	50.0000	
000.705	50.0000	50.0000	
000.759	50.0000	50.0000	
000.836	50.0000	50.0000	
000.895	50.0000	50.0000	
000.949	50.0000	50.0000	
001.017	50.0000	50.0000	
001.081	50.0000	50.0000	
001.141	50.0000	50.0000	
001.204	50.0000	50.0000	
001.268	50.0000	50.0000	
001.334	50.0000	50.0000	
001.392	50.0000	50.0000	
001.452	50.0000	50.0000	
001.519	50.0000	50.0000	
001.572	50.0000	50.0000	
001.637	50.0000	50.0000	
001.702	50.0000	50.0000	
001.765	50.0000	50.0000	
001.831	48.8084	51.1916	
001.890	47.8765	52.1235	
001.951	47.0569	52.9431	
002.007	46.2228	53.7772	
002.078	45.6020	54.3980	
002.142	45.1371	54.8629	
002.205	44.8342	55.1658	
002.265	44.8318	55.1682	
002.329	44.9979	55.0021	
002.388	45.4861	54.5139	
002.449	46.3033	53.6967	
002.516	47.4804	52.5196	
002.578	48.6143	51.3857	
002.639	49.8094	50.1906	
002.703	50.9054	49.0946	
002.759	51.7079	48.2921	
002.822	52.5389	47.4611	
002.883	53.7156	46.2844	
002.956	54.8645	45.1355	
003.007	56.0446	43.9554	
003.071	56.9969	43.0031	
003.131	57.9163	42.0837	
003.195	58.8315	41.1685	
003.259	59.2852	40.7148	
003.323	59.8620	40.1380	
003.382	59.8620	40.1380	
003.443	59.8620	40.1380	
003.506	59.8620	40.1380	
003.570	59.8620	40.1380	
003.630	59.8620	40.1380	
003.694	59.8620	40.1380	
003.758	59.8620	40.1380	
003.822	59.8620	40.1380	
003.882	59.8620	40.1380	
003.947	59.8620	40.1380	
004.016	59.8620	40.1380	
004.081	59.8620	40.1380	
004.142	59.8620	40.1380	
004.207	59.8620	40.1380	
004.268	59.8620	40.1380	
004.333	59.8620	40.1380	
004.394	59.8620	40.1380	
004.453	59.8620	40.1380	
004.512	59.8620	40.1380	
004.578	59.8748	40.1252	
004.638	60.0177	39.9823	
004.704	60.0138	39.9862	
004.769	59.9291	40.0709	
004.829	60.0312	39.9688	
004.894	60.0554	39.9446	
004.955	60.0284	39.9716	
005.020	59.7711	40.2289	
005.083	59.6735	40.3265	
005.143	59.0908	40.9092	
005.210	58.2676	41.7324	
005.271	57.3080	42.6920	
005.327	56.2478	43.7522	
005.396	55.0286	44.9714	
005.448	53.9890	46.0110	
005.519	53.1728	46.8272	
005.587	52.5189	47.4811	
005.635	51.9292	48.0708	
005.706	51.5740	48.4260	
005.771	51.4037	48.5963	
005.835	51.1404	48.8596	
005.895	50.9428	49.0572	
005.954	50.9615	49.0385	
006.011	51.0236	48.9764	
006.087	51.1701	48.8299	
006.144	52.1684	47.8316	
006.208	53.6744	46.3256	
006.261	55.3365	44.6635	
006.333	57.0922	42.9078	
006.394	58.8246	41.1754	
006.442	60.5044	39.4956	
006.516	62.0719	37.9281	
006.576	63.4769	36.5231	
006.631	63.4769	36.5231	
006.694	63.4769	36.5231	
006.758	63.4769	36.5231	
006.822	63.4769	36.5231	
006.882	63.4769	36.5231	
006.942	63.4769	36.5231	
007.006	63.4769	36.5231	
7692	 7692	 7692 
7691	 7691	 7691 
000.067	50.0000	50.0000	
000.135	50.0000	50.0000	
000.187	50.0000	50.0000	
000.267	50.0000	50.0000	
000.328	50.0000	50.0000	
000.382	50.0000	50.0000	
000.441	50.0000	50.0000	
000.500	50.0000	50.0000	
000.567	50.0000	50.0000	
