time 	 RH 	 LH 
7691	 7691	 7691 
000.085	50.0000	50.0000	
000.113	50.0000	50.0000	
000.197	50.0000	50.0000	
000.242	50.0000	50.0000	
000.327	50.0000	50.0000	
000.365	50.0000	50.0000	
000.441	50.0000	50.0000	
000.490	50.0324	49.9676	
000.569	50.2151	49.7849	
000.626	50.7953	49.2047	
000.676	51.3614	48.6386	
000.736	51.9794	48.0206	
000.803	52.5477	47.4523	
000.863	53.1352	46.8648	
000.923	53.9552	46.0448	
000.987	54.6985	45.3015	
001.049	55.1685	44.8315	
001.125	55.3287	44.6713	
001.190	55.6164	44.3836	
001.236	56.1738	43.8262	
001.299	56.8633	43.1367	
001.363	57.8263	42.1737	
001.437	58.9311	41.0689	
001.488	59.7087	40.2913	
001.548	60.3291	39.6709	
001.611	60.4155	39.5845	
001.675	60.2971	39.7029	
001.736	60.1690	39.8310	
001.800	60.2604	39.7396	
001.873	60.3407	39.6593	
001.933	60.1982	39.8018	
001.998	59.9258	40.0742	
002.058	59.7271	40.2729	
002.122	59.4981	40.5019	
002.184	59.1254	40.8746	
002.241	58.4463	41.5537	
002.306	57.3976	42.6024	
002.369	56.5202	43.4798	
002.428	55.8221	44.1779	
002.493	55.3162	44.6838	
002.560	54.9221	45.0780	
002.625	54.3479	45.6521	
002.682	53.9219	46.0781	
002.747	53.4993	46.5007	
002.811	52.7744	47.2256	
002.874	52.5026	47.4974	
002.938	52.4039	47.5961	
003.000	52.1870	47.8130	
003.060	51.8564	48.1436	
003.118	51.4608	48.5392	
003.185	50.8337	49.1663	
003.247	50.3824	49.6176	
003.310	50.0322	49.9678	
003.375	49.6410	50.3590	
003.438	49.1224	50.8776	
003.499	48.4530	51.5470	
003.559	47.7990	52.2010	
003.625	47.0176	52.9824	
003.685	46.3176	53.6824	
003.746	45.6996	54.3004	
003.810	45.0671	54.9329	
003.873	43.8451	56.1549	
003.937	42.5836	57.4164	
003.996	41.6439	58.3561	
004.061	41.6439	58.3561	
004.111	41.6439	58.3561	
004.175	41.6439	58.3561	
004.247	41.6439	58.3561	
004.304	41.6439	58.3561	
004.373	41.6439	58.3561	
004.438	41.6439	58.3561	
004.489	41.6439	58.3561	
004.557	41.6439	58.3561	
004.614	41.6439	58.3561	
004.685	41.6439	58.3561	
004.738	41.6439	58.3561	
004.808	41.6439	58.3561	
004.871	41.6439	58.3561	
004.931	41.6439	58.3561	
004.991	41.6439	58.3561	
005.056	42.8343	57.1657	
005.120	43.9697	56.0303	
005.184	44.9418	55.0582	
005.244	45.9568	54.0432	
005.308	46.7122	53.2878	
005.378	47.1296	52.8704	
005.440	47.8577	52.1423	
005.501	48.3761	51.6239	
005.548	48.2668	51.7332	
005.623	47.5446	52.4554	
005.687	46.9140	53.0860	
005.750	46.0796	53.9204	
005.802	45.1065	54.8935	
005.876	44.0594	55.9406	
005.939	43.3432	56.6568	
005.999	42.4292	57.5708	
006.059	41.4278	58.5722	
006.125	40.8581	59.1419	
006.187	40.4679	59.5321	
006.246	39.8109	60.1891	
006.310	39.3819	60.6181	
006.375	39.1991	60.8009	
006.438	38.7049	61.2951	
006.499	38.3488	61.6512	
006.561	38.3477	61.6524	
006.618	38.3662	61.6338	
006.684	38.3767	61.6233	
006.746	38.3960	61.6040	
006.810	38.5025	61.4975	
006.874	38.8609	61.1390	
006.937	39.2121	60.7879	
006.998	40.0418	59.9582	
7692	 7692	 7692 
7691	 7691	 7691 
000.047	50.0000	50.0000	
000.109	50.0000	50.0000	
000.175	50.0000	50.0000	
000.238	50.0000	50.0000	
000.293	50.0000	50.0000	
000.356	50.0000	50.0000	
000.421	50.0000	50.0000	
000.486	50.0000	50.0000	
000.541	50.0000	50.0000	
000.604	50.0000	50.0000	
000.668	50.0000	50.0000	
000.732	50.0000	50.0000	
000.792	50.0000	50.0000	
000.854	50.0000	50.0000	
000.919	50.0000	50.0000	
000.983	50.0000	50.0000	
001.045	50.0000	50.0000	
001.110	50.0000	50.0000	
001.174	50.0000	50.0000	
001.237	50.0000	50.0000	
001.300	50.0000	50.0000	
001.349	50.0000	50.0000	
001.421	50.0000	50.0000	
001.486	50.0000	50.0000	
001.538	50.0000	50.0000	
001.609	50.0000	50.0000	
001.673	50.0000	50.0000	
001.740	50.0000	50.0000	
001.798	50.0000	50.0000	
001.852	48.6550	51.3450	
001.923	47.3394	52.6606	
001.987	46.0347	53.9653	
002.049	44.7827	55.2173	
002.113	43.8656	56.1344	
002.177	43.2791	56.7209	
002.241	42.6837	57.3163	
002.295	42.3693	57.6307	
002.357	42.1494	57.8506	
002.421	41.8985	58.1015	
002.482	41.8834	58.1166	
002.542	42.0236	57.9764	
002.608	42.5665	57.4335	
002.676	43.2773	56.7227	
002.740	43.7604	56.2396	
002.804	44.7256	55.2744	
002.849	45.3029	54.6971	
002.911	45.5759	54.4241	
002.988	45.7576	54.2424	
003.048	46.4143	53.5857	
003.112	47.0755	52.9245	
003.168	47.6077	52.3923	
003.240	47.9634	52.0366	
003.300	48.1075	51.8925	
003.360	48.2439	51.7561	
003.425	48.2644	51.7356	
003.480	48.1174	51.8826	
003.547	48.0555	51.9445	
003.603	47.9423	52.0577	
003.676	47.5198	52.4802	
003.733	47.3266	52.6734	
003.793	47.4118	52.5882	
003.849	47.8076	52.1924	
003.911	48.3137	51.6863	
003.975	48.7988	51.2012	
004.035	49.2145	50.7855	
004.099	49.4374	50.5626	
004.163	49.5876	50.4124	
004.227	50.0968	49.9032	
004.287	50.7132	49.2868	
004.347	51.2661	48.7339	
004.411	51.7777	48.2223	
004.475	51.8676	48.1324	
004.535	52.0131	47.9869	
004.599	52.1824	47.8176	
004.663	52.2083	47.7917	
004.727	51.9561	48.0439	
004.787	51.2392	48.7608	
004.850	50.4352	49.5648	
004.923	49.6813	50.3187	
004.979	49.1335	50.8665	
005.044	48.0095	51.9905	
005.105	47.0546	52.9454	
005.174	46.9715	53.0285	
005.239	46.7367	53.2633	
005.298	47.0421	52.9579	
005.358	47.7139	52.2861	
005.423	48.4292	51.5708	
005.490	49.2488	50.7512	
005.543	50.2564	49.7436	
005.606	51.2681	48.7319	
005.678	52.2665	47.7335	
005.740	53.4248	46.5752	
005.801	54.7510	45.2490	
005.857	56.1312	43.8688	
005.923	57.4096	42.5904	
005.989	58.7558	41.2442	
006.048	59.9634	40.0366	
006.105	61.0745	38.9255	
006.176	61.9695	38.0305	
006.240	62.7060	37.2940	
006.300	63.2254	36.7745	
006.355	64.0263	35.9737	
006.425	65.0850	34.9150	
7693	 7693	 7693 
006.483	66.0743	33.9257	
006.536	66.0743	33.9257	
006.604	66.0743	33.9257	
006.668	66.0743	33.9257	
006.731	66.0743	33.9257	
006.791	66.0743	33.9257	
006.850	66.0743	33.9257	
006.914	66.0743	33.9257	
006.978	66.0743	33.9257	
007.040	66.0743	33.9257	
007.102	66.0743	33.9257	
007.167	66.0743	33.9257	
007.232	66.0743	33.9257	
007.285	66.0743	33.9257	
007.345	66.0743	33.9257	
007.409	66.0743	33.9257	
007.473	66.0743	33.9257	
007.533	66.0743	33.9257	
007.597	66.0743	33.9257	
007.661	66.0743	33.9257	
007.725	66.0743	33.9257	
007.785	66.0743	33.9257	
007.845	66.0743	33.9257	
007.909	66.0743	33.9257	
007.973	66.0743	33.9257	
008.033	66.0743	33.9257	
008.097	66.0743	33.9257	
008.161	66.0743	33.9257	
008.225	66.0743	33.9257	
008.285	66.0743	33.9257	
008.345	66.0743	33.9257	
008.409	66.0743	33.9257	
008.475	65.2153	34.7847	
008.541	64.6671	35.3329	
008.613	64.2976	35.7024	
008.675	64.1611	35.8389	
008.740	64.1404	35.8596	
008.801	64.4343	35.5657	
008.860	64.7433	35.2567	
008.918	65.1546	34.8454	
008.986	65.3797	34.6203	
009.047	65.1298	34.8702	
009.111	65.0454	34.9546	
009.175	65.1216	34.8784	
009.240	65.1232	34.8768	
009.299	64.7776	35.2224	
009.359	64.4103	35.5897	
009.423	63.9893	36.0107	
009.488	62.9903	37.0097	
009.548	61.7155	38.2845	
009.611	60.3718	39.6282	
009.680	58.6965	41.3035	
009.729	57.0424	42.9576	
009.800	55.4586	44.5414	
009.862	53.9023	46.0977	
202	 202	 202 
7691	 7691	 7691 
000.025	50.0000	50.0000	
000.086	50.0000	50.0000	
000.150	50.0000	50.0000	
000.211	50.0000	50.0000	
000.277	48.4690	51.5310	
000.339	48.4690	51.5310	
000.403	48.4690	51.5310	
000.457	48.4690	51.5310	
000.514	48.4690	51.5310	
000.580	48.4690	51.5310	
000.655	48.4690	51.5310	
000.715	48.4690	51.5310	
000.769	48.4690	51.5310	
000.843	48.4690	51.5310	
000.905	48.4690	51.5310	
000.960	48.4690	51.5310	
001.024	48.4690	51.5310	
001.088	48.4690	51.5310	
001.149	48.4690	51.5310	
001.208	48.4690	51.5310	
001.272	48.4690	51.5310	
001.344	48.4690	51.5310	
001.408	48.4690	51.5310	
001.458	48.4690	51.5310	
001.524	48.4690	51.5310	
001.588	48.4690	51.5310	
001.653	48.4690	51.5310	
001.709	48.4690	51.5310	
001.771	48.4690	51.5310	
001.838	48.4690	51.5310	
001.898	48.4690	51.5310	
001.959	48.4690	51.5310	
002.018	48.4690	51.5310	
002.085	48.4690	51.5310	
002.150	48.5498	51.4502	
002.206	48.4783	51.5217	
002.272	48.5290	51.4710	
002.337	48.8895	51.1105	
002.409	49.8554	50.1446	
002.458	50.6342	49.3658	
002.520	51.3148	48.6852	
002.592	51.7076	48.2924	
002.656	52.1108	47.8892	
002.710	52.6349	47.3651	
002.774	52.9169	47.0831	
002.837	53.2126	46.7874	
002.901	53.6861	46.3139	
002.961	54.0198	45.9802	
003.014	54.1126	45.8874	
003.078	54.3572	45.6428	
003.153	54.3707	45.6293	
003.215	54.5876	45.4124	
003.280	54.7421	45.2579	
003.335	54.9385	45.0615	
003.407	54.4372	45.5628	
003.467	53.5872	46.4129	
003.519	52.9285	47.0715	
003.591	52.6383	47.3617	
003.655	52.1814	47.8186	
003.710	51.9036	48.0964	
003.773	52.2280	47.7720	
003.838	52.3072	47.6928	
003.909	52.3578	47.6422	
003.968	52.2921	47.7079	
004.019	52.1463	47.8537	
004.091	51.8218	48.1782	
004.157	51.8650	48.1350	
004.202	51.9984	48.0016	
004.279	52.1124	47.8876	
004.344	51.8924	48.1076	
004.403	51.8641	48.1359	
004.462	51.8796	48.1204	
004.528	52.1133	47.8867	
004.585	52.3472	47.6528	
004.652	52.6767	47.3233	
004.712	52.9068	47.0932	
004.775	52.7338	47.2662	
004.839	52.8871	47.1129	
004.903	53.2552	46.7448	
004.963	53.7778	46.2222	
