time 	 RH 	 LH 
7691	 7691	 7691 
000.035	50.0000	50.0000	
000.087	50.0000	50.0000	
000.152	50.0000	50.0000	
000.215	50.0000	50.0000	
000.283	50.0000	50.0000	
000.339	50.0000	50.0000	
000.398	50.0000	50.0000	
000.467	50.0000	50.0000	
000.527	50.0000	50.0000	
000.588	50.0000	50.0000	
000.651	50.0000	50.0000	
000.715	50.0000	50.0000	
000.779	50.0000	50.0000	
000.839	50.0000	50.0000	
000.898	50.0000	50.0000	
000.967	50.0000	50.0000	
001.027	50.0000	50.0000	
001.086	50.0000	50.0000	
001.151	50.0000	50.0000	
001.219	49.3199	50.6801	
001.282	48.4233	51.5767	
001.339	47.6346	52.3654	
001.400	46.7429	53.2571	
001.470	45.8431	54.1569	
001.527	45.0464	54.9536	
001.587	44.3217	55.6783	
001.651	43.4936	56.5064	
001.715	43.0614	56.9386	
001.779	42.6769	57.3231	
001.839	42.2631	57.7369	
001.898	41.8395	58.1605	
001.967	41.5798	58.4202	
002.027	41.2799	58.7201	
002.098	40.8608	59.1392	
002.155	40.8341	59.1659	
002.227	40.8220	59.1780	
002.292	40.8581	59.1419	
002.343	40.5938	59.4062	
002.413	40.2488	59.7512	
002.468	40.1488	59.8512	
002.540	41.4069	58.5931	
002.599	42.7699	57.2301	
002.664	44.2973	55.7027	
002.728	46.1048	53.8952	
002.791	48.1123	51.8877	
002.846	50.0245	49.9755	
002.913	51.8945	48.1055	
002.979	53.8270	46.1730	
003.040	55.6066	44.3934	
003.100	57.3291	42.6709	
003.162	59.0265	40.9735	
003.219	60.6514	39.3486	
7693	 7693	 7693 
003.289	62.2839	37.7161	
003.340	62.2839	37.7161	
003.398	62.2839	37.7161	
003.471	62.2839	37.7161	
003.530	62.2839	37.7161	
003.591	62.2839	37.7161	
003.656	62.2839	37.7161	
003.719	62.2839	37.7161	
003.782	62.2839	37.7161	
003.842	62.2839	37.7161	
003.902	62.2839	37.7161	
003.970	62.2839	37.7161	
004.031	62.2839	37.7161	
004.091	62.2839	37.7161	
004.155	62.2839	37.7161	
004.219	62.2839	37.7161	
004.283	62.2839	37.7161	
004.337	62.2839	37.7161	
004.397	62.2839	37.7161	
004.470	62.2839	37.7161	
004.532	62.2839	37.7161	
004.590	62.2839	37.7161	
004.654	62.2839	37.7161	
004.719	62.2839	37.7161	
004.782	62.2839	37.7161	
004.842	62.2839	37.7161	
004.907	62.2839	37.7161	
004.971	62.2839	37.7161	
005.031	62.2839	37.7161	
005.090	62.2839	37.7161	
005.154	62.2839	37.7161	
005.218	62.2839	37.7161	
005.292	63.1298	36.8702	
005.353	63.8623	36.1377	
005.417	64.1277	35.8723	
005.479	64.1143	35.8857	
005.541	63.8976	36.1024	
005.594	63.5675	36.4325	
005.663	63.6591	36.3409	
005.727	64.4062	35.5938	
005.790	65.4528	34.5472	
005.851	66.5616	33.4384	
005.909	67.6964	32.3036	
005.973	68.8664	31.1336	
006.050	69.9124	30.0876	
006.088	70.7893	29.2107	
